h,metric,estimate,ci_lo,ci_hi,n
1,acc,0.48564814814814816,0.4816690683364868,0.5062347054481506,4320
1,mcc,-0.015407313830952483,-0.023875705897808075,0.022281257435679436,4320
2,acc,0.5041860465116279,0.4990633428096771,0.5204171538352966,4300
2,mcc,-0.010739445816806234,-0.020622365176677704,0.021682150661945343,4300
3,acc,0.4982658959537572,0.49173450469970703,0.5143656730651855,4325
3,mcc,-0.012951229779592371,-0.03076283633708954,0.015359419398009777,4325
4,acc,0.49420491423273066,0.4862784147262573,0.5106064081192017,4314
4,mcc,-0.0140899656737938,-0.0281009953469038,0.018099505454301834,4314
5,acc,0.5027816411682893,0.4980895221233368,0.5198015570640564,4314
5,mcc,0.0058574760255095185,-0.0107045853510499,0.03432512283325195,4314
6,acc,0.499530736743313,0.49740275740623474,0.5184388756752014,4262
6,mcc,0.003606371173517395,-0.009178501553833485,0.0329025462269783,4262
7,acc,nan,nan,nan,0
7,mcc,nan,nan,nan,0
24,acc,0.4774694121157863,0.4752378463745117,0.5011705160140991,3351
24,mcc,0.033727091172012176,-0.002778959460556507,0.06451033800840378,3351
