h,move_mcc,move_auc,move_brier,dir_mcc,dir_auc,dir_brier,dir_acc,dir_ece,dir_f1,dir_tp,dir_tn,dir_fp,dir_fn,n
1,0.45940676,0.893284,0.08825571,0.50282544,0.86735654,0.13125676,0.75154096,0.018530404,nan,2227.0,4479.0,478.0,1739.0,10600
2,0.4886236,0.8979279,0.08695634,0.5169513,0.86773396,0.1326749,0.749719,0.022680327,nan,2102.0,4569.0,293.0,1934.0,10599
3,0.4701835,0.89630544,0.08744412,0.5305601,0.87450844,0.13168503,0.75196147,0.027227182,nan,2012.0,4697.0,191.0,2022.0,10599
4,0.47444975,0.89306694,0.0892478,0.49763802,0.8728463,0.13186692,0.7461832,0.024636786,nan,2374.0,4273.0,530.0,1731.0,10600
5,0.47130626,0.89284635,0.08937791,0.5024988,0.86793876,0.13217145,0.7521895,0.020128645,nan,2625.0,4074.0,721.0,1486.0,10600
6,0.48585728,0.8902554,0.09203887,0.49320447,0.871483,0.13131006,0.7478261,0.023381654,nan,3002.0,3620.0,1133.0,1100.0,10600
7,nan,nan,1.3876308e-05,0.93763626,0.9990003,0.0204633,0.96847826,0.02305226,nan,1949.0,2506.0,138.0,7.0,4600
8,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0
9,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0
10,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0
11,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0
12,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0
13,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0
14,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0
15,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0
16,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0
17,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0
18,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0
19,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0
20,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0
21,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0
22,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0
23,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0
24,0.3849896,0.7811264,0.15860952,0.03395747,0.5127563,0.24957514,0.5437183,0.01975885,nan,1726.0,96.0,1444.0,85.0,4700
