min_width,slope_cap,z_clip,w_mcc,w_auc,ece,brier,sat_frac
0.9634708404541016,2.0,10.0,0.22950758915989392,0.7838013408727397,0.06031236561259914,0.14439903138454585,0.41623052959501555
0.9634708404541016,5.0,10.0,0.22950758915989392,0.7838013408727397,0.06031236561259914,0.14439903138454585,0.41623052959501555
1.9269416809082032,2.0,10.0,0.22950758915989392,0.7838013408727397,0.06031236561259914,0.14439903138454585,0.41623052959501555
1.9269416809082032,5.0,10.0,0.22950758915989392,0.7838013408727397,0.06031236561259914,0.14439903138454585,0.41623052959501555
3.8538833618164063,2.0,10.0,0.22950758915989392,0.7838013408727397,0.06031236561259914,0.14439903138454585,0.41623052959501555
0.9634708404541016,2.0,6.0,0.22950758915989392,0.7822996837528317,0.09540050500046199,0.15669386852238165,0.41623052959501555
3.8538833618164063,2.0,6.0,0.22950758915989392,0.7822996837528317,0.09540050500046199,0.15669386852238165,0.41623052959501555
3.8538833618164063,5.0,6.0,0.22950758915989392,0.7822996837528317,0.09540050500046199,0.15669386852238165,0.41623052959501555
0.9634708404541016,5.0,6.0,0.22950758915989392,0.5101920671143102,0.20535913027896066,0.2310962681233904,0.281892523364486
1.9269416809082032,2.0,6.0,0.012303689791544122,0.5234270435934978,0.22202929638710794,0.25615802924134257,0.4908255451713396
3.8538833618164063,5.0,10.0,-0.026895914243946616,0.5198193379214042,0.25755304609112595,0.22805676028622301,0.3991316199376947
1.9269416809082032,5.0,6.0,-0.028046911042954533,0.5197727286583194,0.24329003969314833,0.22730082547119462,0.3980529595015576
