threshold,coverage,filter_acc_1h,filter_acc_4h,pred1_acc_all,pred1_acc_given_filter,pred1_acc_when_agree,filter_pred1_agree_rate
0.5,0.5107476635514019,0.5346752058554437,0.49240622140896617,0.49901639344262294,0.4999085086916743,0.5406102277610657,0.42580054894784997
0.55,0.20037383177570092,0.5573694029850746,0.4869402985074627,0.49901639344262294,0.4916044776119403,0.5531914893617021,0.4603544776119403
0.6,0.002897196261682243,0.4838709677419355,0.5483870967741935,0.49901639344262294,0.6451612903225806,0.625,0.5161290322580645
0.65,0.002336448598130841,0.52,0.56,0.49901639344262294,0.6,0.6153846153846154,0.52
0.7,0.001869158878504673,0.5,0.55,0.49901639344262294,0.65,0.6153846153846154,0.65
0.75,0.0016822429906542056,0.5,0.5,0.49901639344262294,0.6666666666666666,0.6153846153846154,0.7222222222222222
0.8,0.0014953271028037382,0.5,0.5,0.49901639344262294,0.6875,0.6363636363636364,0.6875
0.85,0.0011214953271028037,0.5,0.5833333333333334,0.49901639344262294,0.5833333333333334,0.5555555555555556,0.75
0.9,0.0006542056074766356,0.5714285714285714,0.7142857142857143,0.49901639344262294,0.5714285714285714,0.6,0.7142857142857143
