h,mcc,auc,brier,acc,ece,n
1,0.3871443290471715,0.6677766207007279,0.26435867039129324,0.7063551401869159,0.3018809140341305,10700
2,0.43374176647482,0.703574515237964,0.27756417126948774,0.7116552948873727,0.32612671599478704,10699
3,0.4323140411267747,0.704437507844268,0.27309791050105825,0.705299560706608,0.317282500141903,10699
4,0.4233707128539504,0.6904853625568901,0.26683422278201097,0.7153271028037383,0.3057148836587912,10700
5,0.381596738319302,0.6422149082038954,0.26051322953508416,0.7129906542056075,0.29055887549697795,10700
6,0.4184816610694174,0.6742490624472096,0.25549028571779037,0.7232710280373832,0.27493644326437855,10700
7,nan,nan,0.21854185275354873,1.0,0.46739715337753296,4600
8,nan,nan,nan,nan,nan,0
9,nan,nan,nan,nan,nan,0
10,nan,nan,nan,nan,nan,0
11,nan,nan,nan,nan,nan,0
12,nan,nan,nan,nan,nan,0
13,nan,nan,nan,nan,nan,0
14,nan,nan,nan,nan,nan,0
15,nan,nan,nan,nan,nan,0
16,nan,nan,nan,nan,nan,0
17,nan,nan,nan,nan,nan,0
18,nan,nan,nan,nan,nan,0
19,nan,nan,nan,nan,nan,0
20,nan,nan,nan,nan,nan,0
21,nan,nan,nan,nan,nan,0
22,nan,nan,nan,nan,nan,0
23,nan,nan,nan,nan,nan,0
24,0.020435893081148362,0.5146224500927239,0.2644435424380991,0.5291666666666667,0.10776880011738586,4800
