h,move_mcc,move_auc,move_brier,dir_mcc,dir_auc,dir_brier,dir_acc,dir_ece,n
1,0.46834084,0.8870302,0.09698502,0.26803216,0.6575124,0.24588208,0.6445482,0.15130818,10700
2,0.48727205,0.8918297,0.09618895,0.25552672,0.6528868,0.24662447,0.6258352,0.14801824,10699
3,0.47136268,0.8887015,0.0967406,0.26776445,0.65457153,0.24629143,0.641952,0.13948797,10699
4,0.4621835,0.88439626,0.10034774,0.26270282,0.65842295,0.24619071,0.63450193,0.14127782,10700
5,0.47602645,0.88556504,0.0997113,0.2575659,0.65873253,0.24708891,0.6340051,0.14418866,10700
6,0.475379,0.88215303,0.10029096,0.26422533,0.6620947,0.2461223,0.6365774,0.14714412,10700
7,nan,nan,2.73531e-06,0.545926,0.6218335,0.2404491,0.7554348,0.24556811,4600
8,nan,nan,nan,nan,nan,nan,nan,nan,0
9,nan,nan,nan,nan,nan,nan,nan,nan,0
10,nan,nan,nan,nan,nan,nan,nan,nan,0
11,nan,nan,nan,nan,nan,nan,nan,nan,0
12,nan,nan,nan,nan,nan,nan,nan,nan,0
13,nan,nan,nan,nan,nan,nan,nan,nan,0
14,nan,nan,nan,nan,nan,nan,nan,nan,0
15,nan,nan,nan,nan,nan,nan,nan,nan,0
16,nan,nan,nan,nan,nan,nan,nan,nan,0
17,nan,nan,nan,nan,nan,nan,nan,nan,0
18,nan,nan,nan,nan,nan,nan,nan,nan,0
19,nan,nan,nan,nan,nan,nan,nan,nan,0
20,nan,nan,nan,nan,nan,nan,nan,nan,0
21,nan,nan,nan,nan,nan,nan,nan,nan,0
22,nan,nan,nan,nan,nan,nan,nan,nan,0
23,nan,nan,nan,nan,nan,nan,nan,nan,0
24,0.38689008,0.7718979,0.17929214,0.022175143,0.51197225,0.25081062,0.5391813,0.029659465,4800
