h,corr_w_mask_ratio,corr_w_delta_mean,corr_w_delta_max,auc_zero_mask_ratio,auc_zero_delta_mean,auc_zero_delta_max,zero_rate
1,-0.01614199703883542,0.009727643796002541,-0.006500339626863918,nan,nan,nan,0.0
2,-0.01784414954121506,0.010658049107455542,-0.007817590294899734,nan,nan,nan,0.0
3,-0.016746877637255762,0.010572686914715234,-0.006748310682048634,nan,nan,nan,0.0
4,-0.019508985428583092,0.012634822223255524,-0.0075085497932859,nan,nan,nan,0.0
5,-0.021637738500851423,0.01487386885605024,-0.007273223291947569,nan,nan,nan,0.0
6,-0.018518209366165914,0.011730624398768652,-0.006848562842935238,nan,nan,nan,0.0
7,-0.020438730444806874,0.012513639752799205,-0.008004359901426322,nan,nan,nan,0.0
8,-0.045016259316688116,0.03633044562000898,-0.0155289011909511,nan,nan,nan,0.0
9,-0.05150983824369507,0.0484846221399811,-0.010959180608696729,nan,nan,nan,0.0
10,nan,nan,nan,nan,nan,nan,1.0
11,-0.4156443781639108,0.3867471169603463,-0.025688517214038056,0.8370378105590062,0.12238522256728779,0.41256715838509317,0.7850467289719626
12,nan,nan,nan,nan,nan,nan,1.0
13,nan,nan,nan,nan,nan,nan,1.0
14,nan,nan,nan,nan,nan,nan,1.0
15,-0.05048519932594368,0.07997450786411749,-0.005885954895173194,0.7425671708945898,0.1468198508734489,0.4298074359879133,0.9942990654205608
16,nan,nan,nan,nan,nan,nan,1.0
17,0.21576371413488624,-0.20215806539478665,-0.05967558510461269,0.3079804884773445,0.7177728186902499,0.521579872832321,0.9066355140186916
18,nan,nan,nan,nan,nan,nan,1.0
19,nan,nan,nan,nan,nan,nan,1.0
20,nan,nan,nan,nan,nan,nan,1.0
21,0.011550060788146965,-0.061458994097822406,-0.030147755370588804,0.91101059713044,0.09186773548497806,0.4638420025985032,0.5242990654205607
22,-0.07864458193314071,0.06141539054814281,-0.027471660042570758,nan,nan,nan,0.0
23,-0.5588173528160145,0.5685844855716653,0.000576450615344495,0.9343610121168924,0.05887516037063435,0.44475677120456164,0.5700934579439252
24,-0.019337435499021494,0.013831226422805279,-0.007718796075748113,nan,nan,nan,0.0
