pnl,hhi,top10
-2.46856672,0.01094646,0.15564472
0.20588732,0.00498748,0.10506018
1.11516494,0.01073687,0.15227760
-0.24365380,0.01085720,0.15704521
0.84202449,0.00471690,0.10379036
1.44371877,0.00621763,0.11253816
-0.15814510,0.00280598,0.08099803
0.43147373,0.01084149,0.14569615
1.10347488,0.01324650,0.16340956
-0.27330343,0.00216933,0.06115654
0.32318518,0.00390830,0.08244175
-0.20383164,0.01100721,0.15216749
-0.20983169,0.01198474,0.16088308
0.18427717,0.00546973,0.11022174
-0.24540747,0.01205879,0.17004196
0.65318084,0.01201517,0.17971644
-0.03495259,0.00709380,0.14383531
0.65633858,0.00240032,0.08599854
-0.21346463,0.01273767,0.18935082
0.68588126,0.01066909,0.16591196
-0.55370826,0.01043775,0.15102994
0.07116742,0.01161861,0.15511965
0.46805694,0.01177259,0.15306658
0.36125465,0.00831637,0.11431499
0.35727808,0.01014750,0.12443882
-1.20668206,0.01234771,0.16148928
-0.11301984,0.01111872,0.16356407
-0.21502684,0.00574480,0.13254330
2.23581749,0.01298518,0.17758324
1.46920584,0.01225968,0.14309499
0.62336757,0.01277661,0.14700157
-0.56989339,0.00604462,0.10209786
0.10736543,0.01187957,0.15303903
0.91587957,0.01128985,0.14035823
0.19356651,0.00696181,0.10273225
-1.75432008,0.01088242,0.13922154
-0.02655924,0.00919424,0.13120202
0.29535498,0.00989746,0.13651128
1.98384074,0.01165770,0.15931155
0.66110275,0.01217588,0.17499414
-0.36665625,0.00486726,0.10733616
-1.28839218,0.01129889,0.17622439
1.56204575,0.01300332,0.17862246
0.70477796,0.00563481,0.12006901
0.42099128,0.00671439,0.13191651
2.59596468,0.00862281,0.14172430
-0.99050977,0.01053711,0.15178329
0.95011485,0.00606582,0.12000000
